step,mean_vulnerable,mean_constant
589,512.7478793408401,511.3655666680902
590,510.3665355940094,511.8441121011495
591,511.25765849577726,511.8515159025377
592,510.2970071495232,509.7794378880452
593,511.04070962473236,510.00035830696504
594,510.84617873732554,511.48706732826463
595,510.5807124687642,508.5294816831768
596,512.1994261026077,511.03211766424636
597,512.2941902721335,508.1614596372523
598,512.4042773702508,513.0756717066117
599,511.27028853646624,511.67284307260667
600,511.48052588943915,511.72569698628075
601,511.2155665336274,510.628854176993
602,510.8323373686888,511.11332292194044
603,509.514362400351,510.7954893146853
604,510.08761592710266,511.89953101659853
605,510.2080134239162,510.44817374736476
606,511.59826611618996,511.55817617829996
607,509.00528430641185,511.3865478851054
608,511.08947385584383,512.1410609191447
609,509.8039187460451,510.27714516321583
610,514.0499426189302,512.706737117182
611,508.65007452761733,510.9883155624922
612,511.98270078568856,514.0395515186005
613,512.6178551364894,510.83224176616983
614,510.97445943791485,510.8838300450071
615,512.5258047041413,510.33937435491924
616,510.4755956477893,509.72518540976637
617,511.5035792431151,511.0273993166406
618,509.14039992960073,511.86125853612197
619,510.7304519225399,509.7325742729461
620,512.5934608701076,513.240833956618
621,510.28945341806906,508.88103024147637
622,514.1341462294787,514.4240029478979
623,511.7357218025748,508.34778121697815
624,510.62653090145875,511.4130632592994
625,510.4343793050736,510.21484603667903
626,506.56516914331615,510.38328972443287
627,512.4864864961735,510.6338202919839
628,511.1913665161881,509.1961916213732
629,511.435824281846,511.1921107115835
630,509.47296108017036,509.9403515258592
631,512.9558861886222,512.4321454183107
632,510.9321829228919,512.3857430235618
633,511.7016086775185,510.46778096236335
634,511.4969841233766,508.94433467964683
635,511.7648605272203,511.9784379709905
636,510.05875323108603,511.75615773654437
637,509.45706916860536,512.6408441953711
638,511.9299610023113,511.34800043804404
639,509.5881430331796,510.1274923288214
640,509.92371078560274,510.84682392435275
641,511.36042398116746,512.9129361793946
642,510.34292232340135,509.3950935159977
643,510.61624740060194,511.5069636548293
644,510.892678204667,511.65731931228044
645,511.4404152803255,509.3172294045535
646,512.0608727559359,511.2901229833361
647,509.36819156356813,511.28726264403656
648,512.2167843148828,510.68181365742754
649,512.8909298966498,511.7952160423794
650,512.3588830568674,509.88191002363493
651,513.4238284533686,511.58082795435934
652,508.8891846480232,510.9592762099725
653,513.2802169440175,512.8747050757952
654,511.0131019482328,508.5376440209581
655,512.0250050111641,510.4791581750142
